All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Active Power in MW","Active Power in MW","Active Power in MW"
1.5426,17.6998,17.6998,17.6335
1.5526,17.6743,17.6743,17.6029
1.5626,17.6370,17.6370,17.5612
1.5726,17.5908,17.5908,17.5114
1.5826,17.5382,17.5382,17.4559
1.5926,17.4844,17.4844,17.4002
1.6026,17.4337,17.4337,17.3481
1.6126,17.3900,17.3900,17.3040
1.6226,17.3547,17.3547,17.2691
1.6326,17.3257,17.3257,17.2411
1.6426,17.3028,17.3028,17.2201
1.6526,17.2841,17.2841,17.2039
1.6626,17.2658,17.2658,17.1888
1.6726,17.2475,17.2475,17.1742
1.6826,17.2270,17.2270,17.1580
1.6926,17.2027,17.2027,17.1385
1.7026,17.1737,17.1737,17.1149
1.7126,17.1402,17.1402,17.0871
1.7226,17.1028,17.1028,17.0557
1.7326,17.0627,17.0627,17.0219
1.7426,17.0214,17.0214,16.9871
1.7526,16.9803,16.9803,16.9527
1.7626,16.9410,16.9410,16.9202
1.7726,16.9045,16.9045,16.8904
1.7826,16.8714,16.8714,16.8640
1.7926,16.8420,16.8420,16.8412
1.8026,16.8160,16.8160,16.8218
1.8126,16.7931,16.7931,16.8051
1.8226,16.7725,16.7725,16.7905
1.8326,16.7533,16.7533,16.7771
1.8426,16.7349,16.7349,16.7641
1.8526,16.7167,16.7167,16.7508
1.8626,16.6978,16.6978,16.7366
1.8726,16.6784,16.6784,16.7213
1.8826,16.6536,16.6536,16.7002
1.8926,16.6379,16.6379,16.6877
1.9026,16.6192,16.6192,16.6717
1.9126,16.5996,16.5996,16.6543
1.9226,16.5798,16.5798,16.6361
1.9326,16.5614,16.5614,16.6189
1.9426,16.5440,16.5440,16.6022
1.9526,16.5284,16.5284,16.5866
1.9626,16.5141,16.5141,16.5720
1.9726,16.5013,16.5013,16.5584
1.9826,16.4897,16.4897,16.5454
1.9926,16.4790,16.4790,16.5330
2.0026,16.4689,16.4689,16.5207
2.0126,16.4593,16.4593,16.5085
2.0226,16.4498,16.4498,16.4961
2.0326,16.4405,16.4405,16.4835
2.0426,16.4312,16.4312,16.4707
2.0526,16.4219,16.4219,16.4576
2.0626,16.4128,16.4128,16.4445
2.0726,16.4039,16.4039,16.4315
2.0826,16.3954,16.3954,16.4187
2.0926,16.3874,16.3874,16.4062
2.1026,16.3798,16.3798,16.3942
2.1126,16.3729,16.3729,16.3827
2.1226,16.3664,16.3664,16.3719
2.1326,16.3606,16.3606,16.3615
2.1426,16.3551,16.3551,16.3518
2.1526,16.3500,16.3500,16.3425
2.1626,16.3452,16.3452,16.3336
2.1726,16.3406,16.3406,16.3251
2.1826,16.3360,16.3360,16.3170
2.1926,16.3315,16.3315,16.3091
2.2026,16.3270,16.3270,16.3014
2.2126,16.3225,16.3225,16.2940
2.2226,16.3179,16.3179,16.2869
2.2326,16.3133,16.3133,16.2801
2.2426,16.3088,16.3088,16.2737
2.2526,16.3043,16.3043,16.2676
2.2626,16.2998,16.2998,16.2619
2.2726,16.2954,16.2954,16.2567
2.2826,16.2912,16.2912,16.2519
2.2926,16.2870,16.2870,16.2475
2.3026,16.2829,16.2829,16.2436
2.3126,16.2788,16.2788,16.2400
2.3226,16.2748,16.2748,16.2368
2.3326,16.2708,16.2708,16.2339
2.3426,16.2668,16.2668,16.2312
2.3526,16.2627,16.2627,16.2288
2.3626,16.2586,16.2586,16.2266
2.3726,16.2544,16.2544,16.2245
2.3826,16.2502,16.2502,16.2226
2.3926,16.2460,16.2460,16.2209
2.4026,16.2417,16.2417,16.2193
2.4126,16.2374,16.2374,16.2179
2.4226,16.2332,16.2332,16.2165
2.4326,16.2290,16.2290,16.2153
2.4426,16.2249,16.2249,16.2142
2.4526,16.2208,16.2208,16.2132
2.4626,16.2168,16.2168,16.2122
2.4726,16.2128,16.2128,16.2113
2.4826,16.2089,16.2089,16.2104
2.4926,16.2051,16.2051,16.2094
2.5026,16.2013,16.2013,16.2085
2.5126,16.1976,16.1976,16.2074
2.5226,16.1939,16.1939,16.2063
2.5326,16.1903,16.1903,16.2051
2.5426,16.1868,16.1868,16.2038
2.5526,16.1833,16.1833,16.2023
2.5626,16.1799,16.1799,16.2008
2.5726,16.1766,16.1766,16.1991
2.5826,16.1734,16.1734,16.1973
2.5926,16.1704,16.1704,16.1954
2.6026,16.1674,16.1674,16.1933
2.6126,16.1645,16.1645,16.1911
2.6226,16.1617,16.1617,16.1888
2.6326,16.1590,16.1590,16.1864
2.6426,16.1565,16.1565,16.1838
2.6526,16.1540,16.1540,16.1811
2.6626,16.1516,16.1516,16.1782
2.6726,16.1492,16.1492,16.1752
2.6826,16.1470,16.1470,16.1721
2.6926,16.1449,16.1449,16.1689
2.7026,16.1428,16.1428,16.1656
2.7126,16.1408,16.1408,16.1622
2.7226,16.1388,16.1388,16.1587
2.7326,16.1369,16.1369,16.1551
2.7426,16.1351,16.1351,16.1515
2.7526,16.1333,16.1333,16.1478
2.7626,16.1316,16.1316,16.1441
2.7726,16.1299,16.1299,16.1404
2.7826,16.1283,16.1283,16.1367
2.7926,16.1267,16.1267,16.1330
2.8026,16.1251,16.1251,16.1293
2.8126,16.1235,16.1235,16.1256
2.8226,16.1219,16.1219,16.1220
2.8326,16.1204,16.1204,16.1184
2.8426,16.1188,16.1188,16.1149
2.8526,16.1173,16.1173,16.1115
2.8626,16.1157,16.1157,16.1081
2.8726,16.1142,16.1142,16.1049
2.8826,16.1126,16.1126,16.1017
2.8926,16.1110,16.1110,16.0987
2.9026,16.1094,16.1094,16.0958
2.9126,16.1078,16.1078,16.0930
2.9226,16.1061,16.1061,16.0903
2.9326,16.1045,16.1045,16.0877
2.9426,16.1028,16.1028,16.0853
2.9526,16.1011,16.1011,16.0831
2.9626,16.0993,16.0993,16.0810
2.9726,16.0976,16.0976,16.0790
2.9826,16.0958,16.0958,16.0771
2.9926,16.0940,16.0940,16.0754
3.0026,16.0922,16.0922,16.0739
3.0126,16.0904,16.0904,16.0725
3.0226,16.0886,16.0886,16.0712
3.0326,16.0867,16.0867,16.0700
3.0426,16.0849,16.0849,16.0689
3.0526,16.0830,16.0830,16.0680
3.0626,16.0812,16.0812,16.0671
3.0726,16.0793,16.0793,16.0664
3.0826,16.0775,16.0775,16.0658
3.0926,16.0757,16.0757,16.0652
3.1026,16.0738,16.0738,16.0647
3.1126,16.0721,16.0721,16.0643
3.1226,16.0703,16.0703,16.0639
3.1326,16.0686,16.0686,16.0636
3.1426,16.0668,16.0668,16.0634
3.1526,16.0652,16.0652,16.0631
3.1626,16.0636,16.0636,16.0629
3.1726,16.0620,16.0620,16.0628
3.1826,16.0604,16.0604,16.0626
3.1926,16.0589,16.0589,16.0624
3.2026,16.0575,16.0575,16.0622
3.2126,16.0561,16.0561,16.0621
3.2226,16.0548,16.0548,16.0619
3.2326,16.0535,16.0535,16.0616
3.2426,16.0523,16.0523,16.0614
3.2526,16.0512,16.0512,16.0611
3.2626,16.0501,16.0501,16.0608
3.2726,16.0491,16.0491,16.0604
3.2826,16.0481,16.0481,16.0600
3.2926,16.0472,16.0472,16.0595
3.3026,16.0464,16.0464,16.0590
3.3126,16.0456,16.0456,16.0585
3.3226,16.0449,16.0449,16.0579
3.3326,16.0442,16.0442,16.0572
3.3426,16.0437,16.0437,16.0565
3.3526,16.0431,16.0431,16.0557
3.3626,16.0426,16.0426,16.0550
3.3726,16.0422,16.0422,16.0541
3.3826,16.0418,16.0418,16.0532
3.3926,16.0415,16.0415,16.0523
3.4026,16.0412,16.0412,16.0513
3.4126,16.0409,16.0409,16.0504
3.4226,16.0407,16.0407,16.0494
3.4326,16.0405,16.0405,16.0483
3.4426,16.0403,16.0403,16.0473
3.4526,16.0402,16.0402,16.0462
3.4626,16.0401,16.0401,16.0451
3.4726,16.0400,16.0400,16.0441
3.4826,16.0399,16.0399,16.0430
3.4926,16.0398,16.0398,16.0419
3.5026,16.0397,16.0397,16.0409
3.5126,16.0397,16.0397,16.0398
3.5226,16.0396,16.0396,16.0388
3.5326,16.0396,16.0396,16.0378
3.5426,16.0395,16.0395,16.0369
3.5526,16.0394,16.0394,16.0360
3.5626,16.0393,16.0393,16.0351
3.5726,16.0393,16.0393,16.0343
3.5826,16.0392,16.0392,16.0335
3.5926,16.0390,16.0390,16.0327
3.6026,16.0389,16.0389,16.0320
3.6126,16.0388,16.0388,16.0314
3.6226,16.0386,16.0386,16.0308
3.6326,16.0384,16.0384,16.0303
3.6426,16.0382,16.0382,16.0298
3.6526,16.0380,16.0380,16.0294
3.6626,16.0377,16.0377,16.0290
3.6726,16.0374,16.0374,16.0287
3.6826,16.0372,16.0372,16.0284
3.6926,16.0369,16.0369,16.0282
3.7026,16.0365,16.0365,16.0281
3.7126,16.0362,16.0362,16.0280
3.7226,16.0358,16.0358,16.0279
3.7326,16.0355,16.0355,16.0279
3.7426,16.0351,16.0351,16.0280
3.7526,16.0347,16.0347,16.0280
3.7626,16.0343,16.0343,16.0281
3.7726,16.0339,16.0339,16.0283
3.7826,16.0335,16.0335,16.0285
3.7926,16.0331,16.0331,16.0287
3.8026,16.0326,16.0326,16.0289
3.8126,16.0322,16.0322,16.0291
3.8226,16.0318,16.0318,16.0294
3.8326,16.0314,16.0314,16.0296
3.8426,16.0309,16.0309,16.0299
3.8526,16.0305,16.0305,16.0302
3.8626,16.0301,16.0301,16.0304
3.8726,16.0298,16.0298,16.0307
3.8826,16.0294,16.0294,16.0309
3.8926,16.0290,16.0290,16.0312
3.9026,16.0287,16.0287,16.0314
3.9126,16.0284,16.0284,16.0316
3.9226,16.0281,16.0281,16.0318
3.9326,16.0278,16.0278,16.0320
3.9426,16.0275,16.0275,16.0321
3.9526,16.0272,16.0272,16.0322
3.9626,16.0270,16.0270,16.0323
3.9726,16.0268,16.0268,16.0324
3.9826,16.0266,16.0266,16.0324
3.9926,16.0264,16.0264,16.0324
4.0026,16.0263,16.0263,16.0324
4.0126,16.0262,16.0262,16.0323
4.0226,16.0261,16.0261,16.0322
4.0326,16.0260,16.0260,16.0321
4.0426,16.0259,16.0259,16.0320
4.0526,16.0259,16.0259,16.0318
4.0626,16.0259,16.0259,16.0316
4.0726,16.0259,16.0259,16.0313
4.0826,16.0259,16.0259,16.0311
4.0926,16.0259,16.0259,16.0308
4.1026,16.0259,16.0259,16.0305
4.1126,16.0260,16.0260,16.0302
4.1226,16.0260,16.0260,16.0298
4.1326,16.0261,16.0261,16.0295
4.1426,16.0262,16.0262,16.0291
4.1526,16.0262,16.0262,16.0288
4.1626,16.0263,16.0263,16.0284
4.1726,16.0264,16.0264,16.0280
4.1826,16.0265,16.0265,16.0277
4.1926,16.0266,16.0266,16.0273
4.2026,16.0267,16.0267,16.0269
4.2126,16.0268,16.0268,16.0265
4.2226,16.0269,16.0269,16.0262
4.2326,16.0269,16.0269,16.0258
4.2426,16.0270,16.0270,16.0255
4.2526,16.0271,16.0271,16.0252
4.2626,16.0271,16.0271,16.0249
4.2726,16.0272,16.0272,16.0246
4.2826,16.0272,16.0272,16.0244
4.2926,16.0273,16.0273,16.0241
4.3026,16.0273,16.0273,16.0239
4.3126,16.0273,16.0273,16.0237
4.3226,16.0273,16.0273,16.0235
4.3326,16.0273,16.0273,16.0234
4.3426,16.0273,16.0273,16.0233
4.3526,16.0272,16.0272,16.0232
4.3626,16.0272,16.0272,16.0231
4.3726,16.0272,16.0272,16.0231
4.3826,16.0271,16.0271,16.0231
4.3926,16.0270,16.0270,16.0231
4.4026,16.0270,16.0270,16.0231
4.4126,16.0269,16.0269,16.0231
4.4226,16.0268,16.0268,16.0232
4.4326,16.0267,16.0267,16.0233
4.4426,16.0266,16.0266,16.0234
4.4526,16.0265,16.0265,16.0235
4.4626,16.0263,16.0263,16.0237
4.4726,16.0262,16.0262,16.0238
4.4826,16.0261,16.0261,16.0240
4.4926,16.0259,16.0259,16.0241
4.5026,16.0258,16.0258,16.0243
4.5126,16.0257,16.0257,16.0245
4.5226,16.0255,16.0255,16.0247
4.5326,16.0254,16.0254,16.0249
4.5426,16.0253,16.0253,16.0251
4.5526,16.0252,16.0252,16.0253
4.5626,16.0251,16.0251,16.0255
4.5726,16.0250,16.0250,16.0257
4.5826,16.0248,16.0248,16.0258
4.5926,16.0247,16.0247,16.0260
4.6026,16.0246,16.0246,16.0261
4.6126,16.0245,16.0245,16.0263
4.6226,16.0244,16.0244,16.0264
4.6326,16.0244,16.0244,16.0266
4.6426,16.0243,16.0243,16.0267
4.6526,16.0243,16.0243,16.0268
4.6626,16.0242,16.0242,16.0269
4.6726,16.0242,16.0242,16.0270
4.6826,16.0242,16.0242,16.0270
4.6926,16.0241,16.0241,16.0271
4.7026,16.0241,16.0241,16.0271
4.7126,16.0241,16.0241,16.0271
4.7226,16.0241,16.0241,16.0271
4.7326,16.0241,16.0241,16.0271
4.7426,16.0242,16.0242,16.0271
4.7526,16.0242,16.0242,16.0270
4.7626,16.0242,16.0242,16.0269
4.7726,16.0243,16.0243,16.0269
4.7826,16.0243,16.0243,16.0268
4.7926,16.0244,16.0244,16.0267
4.8026,16.0245,16.0245,16.0266
4.8126,16.0245,16.0245,16.0265
4.8226,16.0246,16.0246,16.0264
4.8326,16.0247,16.0247,16.0262
4.8426,16.0248,16.0248,16.0261
4.8526,16.0249,16.0249,16.0260
4.8626,16.0250,16.0250,16.0258
4.8726,16.0250,16.0250,16.0257
4.8826,16.0251,16.0251,16.0255
4.8926,16.0252,16.0252,16.0254
4.9026,16.0253,16.0253,16.0252
4.9126,16.0254,16.0254,16.0251
4.9226,16.0254,16.0254,16.0250
4.9326,16.0255,16.0255,16.0248
4.9426,16.0256,16.0256,16.0247
4.9526,16.0257,16.0257,16.0246
4.9626,16.0257,16.0257,16.0245
4.9726,16.0258,16.0258,16.0244
4.9826,16.0258,16.0258,16.0243
4.9926,16.0259,16.0259,16.0242
5.0026,16.0259,16.0259,16.0242
5.0126,16.0259,16.0259,16.0241
5.0226,16.0260,16.0260,16.0241
5.0326,16.0260,16.0260,16.0240
5.0426,16.0260,16.0260,16.0240
5.0526,16.0260,16.0260,16.0240
5.0626,16.0260,16.0260,16.0240
5.0726,16.0260,16.0260,16.0240
5.0826,16.0260,16.0260,16.0240
5.0926,16.0260,16.0260,16.0241
