All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
1.5326,0.8260,0.8260,0.7844
1.5426,0.7979,0.7979,0.7525
1.5526,0.7714,0.7714,0.7226
1.5626,0.7472,0.7472,0.6953
1.5726,0.7252,0.7252,0.6706
1.5826,0.7047,0.7047,0.6477
1.5926,0.6877,0.6877,0.6289
1.6026,0.6749,0.6749,0.6146
1.6126,0.6640,0.6640,0.6027
1.6226,0.6539,0.6539,0.5921
1.6326,0.6460,0.6460,0.5841
1.6426,0.6382,0.6382,0.5765
1.6526,0.6291,0.6291,0.5682
1.6626,0.6191,0.6191,0.5593
1.6726,0.6094,0.6094,0.5511
1.6826,0.5971,0.5971,0.5407
1.6926,0.5841,0.5841,0.5299
1.7026,0.5707,0.5707,0.5190
1.7126,0.5575,0.5575,0.5086
1.7226,0.5453,0.5453,0.4994
1.7326,0.5344,0.5344,0.4917
1.7426,0.5251,0.5251,0.4858
1.7526,0.5173,0.5173,0.4815
1.7626,0.5109,0.5109,0.4788
1.7726,0.5056,0.5056,0.4773
1.7826,0.5011,0.5011,0.4766
1.7926,0.4971,0.4971,0.4763
1.8026,0.4931,0.4931,0.4760
1.8126,0.4892,0.4892,0.4759
1.8226,0.4851,0.4851,0.4753
1.8326,0.4806,0.4806,0.4743
1.8426,0.4761,0.4761,0.4732
1.8526,0.4708,0.4708,0.4710
1.8626,0.4657,0.4657,0.4688
1.8726,0.4610,0.4610,0.4669
1.8826,0.4739,0.4739,0.4823
1.8926,0.4606,0.4606,0.4712
1.9026,0.4499,0.4499,0.4626
1.9126,0.4468,0.4468,0.4612
1.9226,0.4438,0.4438,0.4597
1.9326,0.4419,0.4419,0.4590
1.9426,0.4403,0.4403,0.4583
1.9526,0.4396,0.4396,0.4581
1.9626,0.4391,0.4391,0.4580
1.9726,0.4390,0.4390,0.4580
1.9826,0.4392,0.4392,0.4579
1.9926,0.4394,0.4394,0.4577
2.0026,0.4397,0.4397,0.4572
2.0126,0.4400,0.4400,0.4565
2.0226,0.4402,0.4402,0.4555
2.0326,0.4404,0.4404,0.4543
2.0426,0.4406,0.4406,0.4529
2.0526,0.4410,0.4410,0.4515
2.0626,0.4415,0.4415,0.4501
2.0726,0.4423,0.4423,0.4488
2.0826,0.4434,0.4434,0.4477
2.0926,0.4448,0.4448,0.4468
2.1026,0.4464,0.4464,0.4461
2.1126,0.4483,0.4483,0.4455
2.1226,0.4502,0.4502,0.4450
2.1326,0.4522,0.4522,0.4446
2.1426,0.4541,0.4541,0.4441
2.1526,0.4559,0.4559,0.4435
2.1626,0.4575,0.4575,0.4427
2.1726,0.4589,0.4589,0.4419
2.1826,0.4602,0.4602,0.4409
2.1926,0.4613,0.4613,0.4400
2.2026,0.4624,0.4624,0.4391
2.2126,0.4634,0.4634,0.4383
2.2226,0.4645,0.4645,0.4377
2.2326,0.4656,0.4656,0.4373
2.2426,0.4668,0.4668,0.4371
2.2526,0.4679,0.4679,0.4371
2.2626,0.4691,0.4691,0.4372
2.2726,0.4702,0.4702,0.4375
2.2826,0.4712,0.4712,0.4378
2.2926,0.4720,0.4720,0.4382
2.3026,0.4726,0.4726,0.4386
2.3126,0.4731,0.4731,0.4391
2.3226,0.4734,0.4734,0.4395
2.3326,0.4736,0.4736,0.4400
2.3426,0.4737,0.4737,0.4406
2.3526,0.4738,0.4738,0.4412
2.3626,0.4738,0.4738,0.4421
2.3726,0.4738,0.4738,0.4430
