All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Active Power in MW","Active Power in MW","Active Power in MW"
1.5526,15.5416,15.5416,15.5416
1.5626,15.5409,15.5409,15.5409
1.5726,15.5402,15.5402,15.5402
1.5826,15.5396,15.5396,15.5396
1.5926,15.5390,15.5390,15.5390
1.6026,15.5384,15.5384,15.5384
1.6126,15.5379,15.5379,15.5379
1.6226,15.5373,15.5373,15.5373
1.6326,15.5368,15.5368,15.5368
1.6426,15.5364,15.5364,15.5364
1.6526,15.5360,15.5360,15.5360
1.6626,15.5355,15.5355,15.5355
1.6726,15.5351,15.5351,15.5351
1.6826,15.5347,15.5347,15.5347
1.6926,15.5343,15.5343,15.5343
1.7026,15.5339,15.5339,15.5339
1.7126,15.5335,15.5335,15.5335
1.7226,15.5332,15.5332,15.5332
1.7326,15.5328,15.5328,15.5328
1.7426,15.5325,15.5325,15.5325
1.7526,15.5322,15.5322,15.5322
1.7626,15.5319,15.5319,15.5319
1.7726,15.5317,15.5317,15.5317
1.7826,15.5314,15.5314,15.5314
1.7926,15.5313,15.5313,15.5313
1.8026,15.5311,15.5311,15.5311
1.8126,15.5309,15.5309,15.5309
1.8226,15.5308,15.5308,15.5308
1.8326,15.5306,15.5306,15.5306
1.8426,15.5304,15.5304,15.5304
1.8526,15.5303,15.5303,15.5303
1.8626,15.5301,15.5301,15.5301
1.8726,15.5300,15.5300,15.5300
1.8826,15.5299,15.5299,15.5299
1.8926,15.5298,15.5298,15.5298
1.9026,15.5297,15.5297,15.5297
1.9126,15.5296,15.5296,15.5296
1.9226,15.5296,15.5296,15.5296
1.9326,15.5295,15.5295,15.5295
1.9426,15.5295,15.5295,15.5295
1.9526,15.5295,15.5295,15.5295
1.9626,15.5295,15.5295,15.5295
1.9726,15.5294,15.5294,15.5294
1.9826,15.5294,15.5294,15.5294
1.9926,15.5294,15.5294,15.5294
2.0026,15.5294,15.5294,15.5294
2.0126,15.5294,15.5294,15.5294
2.0226,15.5293,15.5293,15.5293
2.0326,15.5293,15.5293,15.5293
2.0426,15.5294,15.5294,15.5294
2.0526,15.5294,15.5294,15.5294
2.0626,15.5294,15.5294,15.5294
2.0726,15.5294,15.5294,15.5294
2.0826,15.5295,15.5295,15.5295
2.0926,15.5295,15.5295,15.5295
2.1026,15.5295,15.5295,15.5295
2.1126,15.5295,15.5295,15.5295
2.1226,15.5296,15.5296,15.5296
2.1326,15.5296,15.5296,15.5296
2.1426,15.5296,15.5296,15.5296
2.1526,15.5296,15.5296,15.5296
2.1626,15.5297,15.5297,15.5297
2.1726,15.5297,15.5297,15.5297
2.1826,15.5298,15.5298,15.5298
2.1926,15.5298,15.5298,15.5298
2.2026,15.5298,15.5298,15.5298
2.2126,15.5299,15.5299,15.5299
2.2226,15.5299,15.5299,15.5299
2.2326,15.5299,15.5299,15.5299
2.2426,15.5300,15.5300,15.5300
2.2526,15.5300,15.5300,15.5300
2.2626,15.5300,15.5300,15.5300
2.2726,15.5301,15.5301,15.5301
2.2826,15.5301,15.5301,15.5301
2.2926,15.5301,15.5301,15.5301
2.3026,15.5301,15.5301,15.5301
2.3126,15.5302,15.5302,15.5302
2.3226,15.5302,15.5302,15.5302
2.3326,15.5302,15.5302,15.5302
2.3426,15.5302,15.5302,15.5302
2.3526,15.5303,15.5303,15.5303
2.3626,15.5303,15.5303,15.5303
2.3726,15.5303,15.5303,15.5303
2.3826,15.5303,15.5303,15.5303
2.3926,15.5303,15.5303,15.5303
2.4026,15.5303,15.5303,15.5303
2.4126,15.5303,15.5303,15.5303
2.4226,15.5303,15.5303,15.5303
2.4326,15.5303,15.5303,15.5303
2.4426,15.5304,15.5304,15.5304
2.4526,15.5304,15.5304,15.5304
2.4626,15.5304,15.5304,15.5304
2.4726,15.5304,15.5304,15.5304
2.4826,15.5304,15.5304,15.5304
2.4926,15.5304,15.5304,15.5304
2.5026,15.5304,15.5304,15.5304
2.5126,15.5304,15.5304,15.5304
2.5226,15.5304,15.5304,15.5304
2.5326,15.5304,15.5304,15.5304
2.5426,15.5304,15.5304,15.5304
2.5526,15.5304,15.5304,15.5304
2.5626,15.5303,15.5303,15.5303
2.5726,15.5303,15.5303,15.5303
2.5826,15.5303,15.5303,15.5303
2.5926,15.5303,15.5303,15.5303
2.6026,15.5303,15.5303,15.5303
2.6126,15.5303,15.5303,15.5303
2.6226,15.5303,15.5303,15.5303
2.6326,15.5303,15.5303,15.5303
2.6426,15.5303,15.5303,15.5303
2.6526,15.5303,15.5303,15.5303
2.6626,15.5303,15.5303,15.5303
2.6726,15.5302,15.5302,15.5302
2.6826,15.5302,15.5302,15.5302
2.6926,15.5302,15.5302,15.5302
2.7026,15.5302,15.5302,15.5302
2.7126,15.5302,15.5302,15.5302
2.7226,15.5302,15.5302,15.5302
2.7326,15.5302,15.5302,15.5302
2.7426,15.5301,15.5301,15.5301
2.7526,15.5301,15.5301,15.5301
2.7626,15.5301,15.5301,15.5301
2.7726,15.5301,15.5301,15.5301
2.7826,15.5301,15.5301,15.5301
2.7926,15.5301,15.5301,15.5301
2.8026,15.5301,15.5301,15.5301
2.8126,15.5301,15.5301,15.5301
2.8226,15.5300,15.5300,15.5300
2.8326,15.5300,15.5300,15.5300
2.8426,15.5300,15.5300,15.5300
2.8526,15.5300,15.5300,15.5300
2.8626,15.5300,15.5300,15.5300
