All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
1.5426,0.3032,0.3032,0.3032
1.5526,0.3032,0.3032,0.3032
1.5626,0.3034,0.3034,0.3034
1.5726,0.3037,0.3037,0.3037
1.5826,0.3042,0.3042,0.3042
1.5926,0.3047,0.3047,0.3047
1.6026,0.3053,0.3053,0.3053
1.6126,0.3057,0.3057,0.3057
1.6226,0.3061,0.3061,0.3061
1.6326,0.3064,0.3064,0.3064
1.6426,0.3065,0.3065,0.3065
1.6526,0.3066,0.3066,0.3066
1.6626,0.3066,0.3066,0.3066
1.6726,0.3067,0.3067,0.3067
1.6826,0.3069,0.3069,0.3069
1.6926,0.3072,0.3072,0.3072
1.7026,0.3075,0.3075,0.3075
1.7126,0.3080,0.3080,0.3080
1.7226,0.3085,0.3085,0.3085
1.7326,0.3090,0.3090,0.3090
1.7426,0.3095,0.3095,0.3095
1.7526,0.3099,0.3099,0.3099
1.7626,0.3102,0.3102,0.3102
1.7726,0.3104,0.3104,0.3104
1.7826,0.3106,0.3106,0.3106
1.7926,0.3107,0.3107,0.3107
1.8026,0.3109,0.3109,0.3109
1.8126,0.3111,0.3111,0.3111
1.8226,0.3113,0.3113,0.3113
1.8326,0.3116,0.3116,0.3116
1.8426,0.3120,0.3120,0.3120
1.8526,0.3124,0.3124,0.3124
1.8626,0.3128,0.3128,0.3128
1.8726,0.3132,0.3132,0.3132
1.8826,0.3136,0.3136,0.3136
1.8926,0.3139,0.3139,0.3139
1.9026,0.3141,0.3141,0.3141
1.9126,0.3143,0.3143,0.3143
1.9226,0.3144,0.3144,0.3144
1.9326,0.3145,0.3145,0.3145
1.9426,0.3147,0.3147,0.3147
1.9526,0.3149,0.3149,0.3149
1.9626,0.3151,0.3151,0.3151
1.9726,0.3154,0.3154,0.3154
1.9826,0.3157,0.3157,0.3157
1.9926,0.3160,0.3160,0.3160
2.0026,0.3163,0.3163,0.3163
2.0126,0.3165,0.3165,0.3165
2.0226,0.3167,0.3167,0.3167
2.0326,0.3169,0.3169,0.3169
2.0426,0.3170,0.3170,0.3170
2.0526,0.3171,0.3171,0.3171
2.0626,0.3172,0.3172,0.3172
2.0726,0.3173,0.3173,0.3173
2.0826,0.3174,0.3174,0.3174
2.0926,0.3176,0.3176,0.3176
2.1026,0.3177,0.3177,0.3177
2.1126,0.3179,0.3179,0.3179
2.1226,0.3181,0.3181,0.3181
2.1326,0.3183,0.3183,0.3183
2.1426,0.3185,0.3185,0.3185
2.1526,0.3186,0.3186,0.3186
